                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.1994,                 5.0805,                 4.0343,                0.00014,                   0.03,                  9e-05,                  3e-05,                 4.8954,                 4.5099,                 4.1897,             0.00065385,             0.00065385,             0.00065385
                      1,                 3.2113,                 3.2186,                 3.1776,                0.03885,                   0.09,                 0.0102,                0.00252,                  3.576,                 10.386,                 3.8213,              0.0012944,              0.0012944,              0.0012944
                      2,                  2.951,                 2.7953,                  2.916,                0.03234,                   0.41,                0.02035,                0.00532,                 3.0981,                  142.2,                 5.7805,              0.0019085,              0.0019085,              0.0019085
                      3,                 2.8664,                 2.3861,                 2.7324,                 0.0167,                   0.53,                0.01286,                0.00415,                 2.6699,                 74.414,                  2.972,              0.0018812,              0.0018812,              0.0018812
                      4,                 2.7065,                 2.2644,                 2.6505,                0.03887,                   0.16,                0.02202,                0.00588,                 2.6503,                 3.8103,                  4.034,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.4885,                 2.1471,                 2.4905,                0.31276,                   0.37,                0.25119,                0.09236,                 2.4207,                 2.3767,                 2.4782,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.3599,                 2.0118,                 2.4254,                  0.289,                   0.17,                0.11914,                 0.0386,                 2.4795,                 2.9799,                 2.9237,               0.001802,               0.001802,               0.001802
                      7,                 2.2278,                 1.8728,                 2.3303,                 0.5718,                   0.36,                 0.3492,                0.13344,                 2.2535,                 2.7389,                 2.3913,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.1361,                 1.7055,                 2.1888,                0.48803,                0.50524,                0.38462,                 0.1535,                 2.0821,                 2.2082,                 2.2599,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.1172,                 1.6926,                 2.2009,                0.53343,                   0.26,                0.33141,                0.12777,                 2.5344,                 2.7491,                 2.4688,              0.0016832,              0.0016832,              0.0016832
